Times,Fold,T,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Confusion Matrix
5,3,0.0,PSO-AFW-CIL,co_author_100_900,0.8722,0.55,0.6926,0.4074,0.84,0.7111,"[[157, 23], [9, 11]]"
5,4,0.0,W-SVM,co_author_100_900,0.9444,0.45,0.6519,0.4615,0.895,0.6972,"[[170, 10], [11, 9]]"
5,4,0.0,PSO-AFW-CIL,co_author_100_900,0.8778,0.65,0.7554,0.4727,0.855,0.7639,"[[158, 22], [7, 13]]"
5,5,0.0,W-SVM,co_author_100_900,0.9722,0.6,0.7638,0.6486,0.935,0.7861,"[[175, 5], [8, 12]]"
5,5,0.0,PSO-AFW-CIL,co_author_100_900,0.8944,0.85,0.8719,0.6071,0.89,0.8722,"[[161, 19], [3, 17]]"
1,1,0.0,W-SVM,co_author_200_1000,0.96,0.6,0.7589,0.6667,0.9,0.78,"[[192, 8], [16, 24]]"
1,1,0.0,PSO-AFW-CIL,co_author_200_1000,0.69,0.95,0.8096,0.5429,0.7333,0.82,"[[138, 62], [2, 38]]"
1,2,0.0,W-SVM,co_author_200_1000,0.945,0.55,0.7209,0.6027,0.8792,0.7475,"[[189, 11], [18, 22]]"
1,2,0.0,PSO-AFW-CIL,co_author_200_1000,0.725,0.9,0.8078,0.5496,0.7542,0.8125,"[[145, 55], [4, 36]]"
1,3,0.0,W-SVM,co_author_200_1000,0.945,0.6,0.753,0.64,0.8875,0.7725,"[[189, 11], [16, 24]]"
1,3,0.0,PSO-AFW-CIL,co_author_200_1000,0.78,0.925,0.8494,0.6116,0.8042,0.8525,"[[156, 44], [3, 37]]"
1,4,0.0,W-SVM,co_author_200_1000,0.905,0.375,0.5826,0.4054,0.8167,0.64,"[[181, 19], [25, 15]]"
1,4,0.0,PSO-AFW-CIL,co_author_200_1000,0.715,0.9,0.8022,0.5414,0.7458,0.8075,"[[143, 57], [4, 36]]"
1,5,0.0,W-SVM,co_author_200_1000,0.9,0.475,0.6538,0.481,0.8292,0.6875,"[[180, 20], [21, 19]]"
1,5,0.0,PSO-AFW-CIL,co_author_200_1000,0.725,0.825,0.7734,0.5156,0.7417,0.775,"[[145, 55], [7, 33]]"
2,1,0.0,W-SVM,co_author_200_1000,0.925,0.45,0.6452,0.4932,0.8458,0.6875,"[[185, 15], [22, 18]]"
2,1,0.0,PSO-AFW-CIL,co_author_200_1000,0.71,0.875,0.7882,0.5263,0.7375,0.7925,"[[142, 58], [5, 35]]"
2,2,0.0,W-SVM,co_author_200_1000,0.94,0.575,0.7352,0.6133,0.8792,0.7575,"[[188, 12], [17, 23]]"
2,2,0.0,PSO-AFW-CIL,co_author_200_1000,0.76,0.875,0.8155,0.5691,0.7792,0.8175,"[[152, 48], [5, 35]]"
2,3,0.0,W-SVM,co_author_200_1000,0.94,0.525,0.7025,0.5753,0.8708,0.7325,"[[188, 12], [19, 21]]"
2,3,0.0,PSO-AFW-CIL,co_author_200_1000,0.715,0.85,0.7796,0.5191,0.7375,0.7825,"[[143, 57], [6, 34]]"
2,4,0.0,W-SVM,co_author_200_1000,0.91,0.55,0.7075,0.55,0.85,0.73,"[[182, 18], [18, 22]]"
2,4,0.0,PSO-AFW-CIL,co_author_200_1000,1.0,0.025,0.1581,0.0488,0.8375,0.5125,"[[200, 0], [39, 1]]"
2,5,0.0,W-SVM,co_author_200_1000,0.95,0.525,0.7062,0.5915,0.8792,0.7375,"[[190, 10], [19, 21]]"
2,5,0.0,PSO-AFW-CIL,co_author_200_1000,0.74,1.0,0.8602,0.6061,0.7833,0.87,"[[148, 52], [0, 40]]"
3,1,0.0,W-SVM,co_author_200_1000,0.925,0.475,0.6629,0.5135,0.85,0.7,"[[185, 15], [21, 19]]"
3,1,0.0,PSO-AFW-CIL,co_author_200_1000,0.74,0.85,0.7931,0.5397,0.7583,0.795,"[[148, 52], [6, 34]]"
3,2,0.0,W-SVM,co_author_200_1000,0.945,0.575,0.7371,0.6216,0.8833,0.76,"[[189, 11], [17, 23]]"
3,2,0.0,PSO-AFW-CIL,co_author_200_1000,0.685,0.925,0.796,0.5286,0.725,0.805,"[[137, 63], [3, 37]]"
3,3,0.0,W-SVM,co_author_200_1000,0.91,0.5,0.6745,0.5128,0.8417,0.705,"[[182, 18], [20, 20]]"
3,3,0.0,PSO-AFW-CIL,co_author_200_1000,0.73,0.975,0.8437,0.5865,0.7708,0.8525,"[[146, 54], [1, 39]]"
3,4,0.0,W-SVM,co_author_200_1000,0.95,0.575,0.7391,0.6301,0.8875,0.7625,"[[190, 10], [17, 23]]"
3,4,0.0,PSO-AFW-CIL,co_author_200_1000,0.765,0.9,0.8298,0.5854,0.7875,0.8325,"[[153, 47], [4, 36]]"
3,5,0.0,W-SVM,co_author_200_1000,0.905,0.625,0.7521,0.5952,0.8583,0.765,"[[181, 19], [15, 25]]"
3,5,0.0,PSO-AFW-CIL,co_author_200_1000,0.74,0.85,0.7931,0.5397,0.7583,0.795,"[[148, 52], [6, 34]]"
4,1,0.0,W-SVM,co_author_200_1000,0.9,0.725,0.8078,0.6517,0.8708,0.8125,"[[180, 20], [11, 29]]"
4,1,0.0,PSO-AFW-CIL,co_author_200_1000,0.73,0.925,0.8217,0.5649,0.7625,0.8275,"[[146, 54], [3, 37]]"
4,2,0.0,W-SVM,co_author_200_1000,0.92,0.4,0.6066,0.4444,0.8333,0.66,"[[184, 16], [24, 16]]"
4,2,0.0,PSO-AFW-CIL,co_author_200_1000,0.69,0.825,0.7545,0.4889,0.7125,0.7575,"[[138, 62], [7, 33]]"
4,3,0.0,W-SVM,co_author_200_1000,0.905,0.475,0.6556,0.4872,0.8333,0.69,"[[181, 19], [21, 19]]"
4,3,0.0,PSO-AFW-CIL,co_author_200_1000,0.685,0.875,0.7742,0.5072,0.7167,0.78,"[[137, 63], [5, 35]]"
4,4,0.0,W-SVM,co_author_200_1000,0.945,0.625,0.7685,0.6579,0.8917,0.785,"[[189, 11], [15, 25]]"
4,4,0.0,PSO-AFW-CIL,co_author_200_1000,0.79,0.925,0.8548,0.6218,0.8125,0.8575,"[[158, 42], [3, 37]]"
4,5,0.0,W-SVM,co_author_200_1000,0.945,0.425,0.6337,0.5,0.8583,0.685,"[[189, 11], [23, 17]]"
4,5,0.0,PSO-AFW-CIL,co_author_200_1000,0.995,0.0,0.0,0.0,0.8292,0.4975,"[[199, 1], [40, 0]]"
5,1,0.0,W-SVM,co_author_200_1000,0.955,0.65,0.7879,0.6933,0.9042,0.8025,"[[191, 9], [14, 26]]"
5,1,0.0,PSO-AFW-CIL,co_author_200_1000,0.71,0.9,0.7994,0.5373,0.7417,0.805,"[[142, 58], [4, 36]]"
5,2,0.0,W-SVM,co_author_200_1000,0.91,0.525,0.6912,0.5316,0.8458,0.7175,"[[182, 18], [19, 21]]"
5,2,0.0,PSO-AFW-CIL,co_author_200_1000,0.71,0.925,0.8104,0.5481,0.7458,0.8175,"[[142, 58], [3, 37]]"
5,3,0.0,W-SVM,co_author_200_1000,0.89,0.575,0.7154,0.5412,0.8375,0.7325,"[[178, 22], [17, 23]]"
