Times,Fold,T,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Confusion Matrix
6,3,0.1027,AFW-CIL_fixed,fixed_sigma_1.2,0.8889,0.4375,0.6236,0.5,0.7705,0.6632,"[[40, 5], [9, 7]]"
6,3,1.8893,GridSearch-AFW-CIL,"K=5,s=0.5",0.8222,0.6875,0.7518,0.6286,0.7869,0.7549,"[[37, 8], [5, 11]]"
6,3,5.1068,PSO-AFW-CIL,"K=11,s1=0.376,s2=0.020,s3=0.181,s4=0.854",0.6,0.8125,0.6982,0.5532,0.6557,0.7062,"[[27, 18], [3, 13]]"
6,4,0.0158,W-SVM,baseline,0.9111,0.25,0.4773,0.3333,0.7377,0.5806,"[[41, 4], [12, 4]]"
6,4,0.118,AFW-CIL_fixed,fixed_sigma_1.2,0.8444,0.3125,0.5137,0.3571,0.7049,0.5785,"[[38, 7], [11, 5]]"
6,4,2.1166,GridSearch-AFW-CIL,"K=7,s=0.1",0.7111,0.5,0.5963,0.4324,0.6557,0.6056,"[[32, 13], [8, 8]]"
6,4,5.7734,PSO-AFW-CIL,"K=5,s1=0.267,s2=0.017,s3=0.107,s4=0.698",0.6667,0.625,0.6455,0.4878,0.6557,0.6458,"[[30, 15], [6, 10]]"
6,5,0.0187,W-SVM,baseline,0.8222,0.375,0.5553,0.4,0.7049,0.5986,"[[37, 8], [10, 6]]"
6,5,0.0999,AFW-CIL_fixed,fixed_sigma_1.2,0.7778,0.5,0.6236,0.4706,0.7049,0.6389,"[[35, 10], [8, 8]]"
6,5,1.861,GridSearch-AFW-CIL,"K=7,s=0.5",1.0,0.0,0.0,0.0,0.7377,0.5,"[[45, 0], [16, 0]]"
6,5,5.0174,PSO-AFW-CIL,"K=4,s1=0.331,s2=0.010,s3=0.010,s4=0.220",0.5556,0.8125,0.6719,0.5306,0.623,0.684,"[[25, 20], [3, 13]]"
7,1,0.0167,W-SVM,baseline,0.9111,0.3529,0.5671,0.4444,0.7581,0.632,"[[41, 4], [11, 6]]"
7,1,0.1001,AFW-CIL_fixed,fixed_sigma_1.2,0.8222,0.3529,0.5387,0.3871,0.6935,0.5876,"[[37, 8], [11, 6]]"
7,1,2.0166,GridSearch-AFW-CIL,"K=3,s=0.1",0.5333,0.5882,0.5601,0.4167,0.5484,0.5608,"[[24, 21], [7, 10]]"
7,1,5.2996,PSO-AFW-CIL,"K=6,s1=0.014,s2=0.131,s3=0.495,s4=0.379",0.5111,0.5882,0.5483,0.4082,0.5323,0.5497,"[[23, 22], [7, 10]]"
7,2,0.0293,W-SVM,baseline,0.8667,0.375,0.5701,0.4286,0.7377,0.6208,"[[39, 6], [10, 6]]"
7,2,0.1029,AFW-CIL_fixed,fixed_sigma_1.2,0.7778,0.5,0.6236,0.4706,0.7049,0.6389,"[[35, 10], [8, 8]]"
